iter	Logloss
0	0.6531569672
1	0.6183135411
2	0.5998759758
3	0.5828936779
4	0.57062733
5	0.5634991921
6	0.5612078696
7	0.5560801428
8	0.555065605
9	0.4856350439
10	0.4793966575
11	0.4726574873
12	0.4652133958
13	0.4619770532
14	0.4606309987
15	0.4543858644
16	0.4508832512
17	0.447882976
18	0.4455883295
19	0.4126380628
20	0.4111287057
21	0.4103846062
22	0.3885298246
23	0.3839293154
24	0.3824804726
25	0.3735452967
26	0.3717360166
27	0.370548253
28	0.36859305
29	0.3660645883
30	0.3645934709
31	0.3641836459
32	0.363515195
33	0.3617268081
34	0.3610590657
35	0.3584906167
36	0.3574363218
37	0.3536988279
38	0.346515813
39	0.3454997783
40	0.338654134
41	0.3325994877
42	0.3318439856
43	0.3282818692
44	0.3277603603
45	0.3260109019
46	0.3259423968
47	0.3249282577
48	0.320590156
49	0.3126143331
50	0.3117347547
51	0.3065415053
52	0.3046434626
53	0.3026813849
54	0.2977115962
55	0.2893065385
56	0.2862582932
57	0.285611486
58	0.2850984013
59	0.2808796501
60	0.2796620152
61	0.2786585087
62	0.2779735674
63	0.2738106311
64	0.2729470636
65	0.2723345295
66	0.2719346092
67	0.2716518129
68	0.26631427
69	0.2634448787
70	0.2604373423
71	0.2601481004
72	0.2566575944
73	0.2534436556
74	0.2478571731
75	0.2448685557
76	0.2431076566
77	0.2396142674
78	0.2359966338
79	0.2327219717
80	0.2309530476
81	0.228413359
82	0.2264943389
83	0.2243685475
84	0.223089852
85	0.2228745668
86	0.2203447294
87	0.2181830881
88	0.2165209346
89	0.2162881373
90	0.2149114288
91	0.2119815591
92	0.209834786
93	0.2057360357
94	0.2040854329
95	0.2024296978
96	0.1998259157
97	0.1977998147
98	0.1961409474
99	0.1918825232
100	0.1886701055
101	0.1880600744
102	0.187928801
103	0.1878390553
104	0.1869000184
105	0.1868224218
106	0.1849265574
107	0.1828349707
108	0.179649932
109	0.177381013
110	0.1751553019
111	0.1727312092
112	0.1710375654
113	0.1698195287
114	0.1683765022
115	0.166949975
116	0.164709054
117	0.1646000043
118	0.1627883139
119	0.1623673514
120	0.1613371163
121	0.1612525185
122	0.1602102464
123	0.1587460074
124	0.1582118894
125	0.1581364745
126	0.1580643717
127	0.1574571221
128	0.1563908768
129	0.1553927217
130	0.1543632634
131	0.1536483297
132	0.1524243312
133	0.1521324628
134	0.1506467131
135	0.1495316783
136	0.1494339913
137	0.1491900358
138	0.1477844169
139	0.1473059685
140	0.1472537729
141	0.1440493567
142	0.1417190194
143	0.1412613428
144	0.1402795259
145	0.1402440946
146	0.1396865206
147	0.1393873171
148	0.1386640587
149	0.1374397934
150	0.1362066755
151	0.1361700998
152	0.1361186117
153	0.1345156191
154	0.1335153392
155	0.1318540252
156	0.1318240198
157	0.1306156331
158	0.1295025655
159	0.1278972421
160	0.1276477559
161	0.1275706191
162	0.1269873963
163	0.126618768
164	0.1265802268
165	0.1256568535
166	0.1256271105
167	0.1251720966
168	0.1242152709
169	0.1239063378
170	0.1235706906
171	0.1230007257
172	0.122965048
173	0.1226860046
174	0.1224600419
175	0.1222104836
176	0.1216312882
177	0.1209158512
178	0.1208860951
179	0.1205290194
180	0.1191202732
181	0.1184622202
182	0.1176343013
183	0.1175982207
184	0.1175715131
185	0.1165893438
186	0.1153672469
187	0.1142163079
188	0.1131259456
189	0.1120151403
190	0.1111819233
191	0.110448317
192	0.1095651267
193	0.1090240918
194	0.1084807634
195	0.1078244299
196	0.1076233024
197	0.1073082068
198	0.1063976345
199	0.1063794011
200	0.1060639687
201	0.1053157614
202	0.10456744
203	0.104308612
204	0.1037764308
205	0.1032569474
206	0.1032348181
207	0.1030706944
208	0.1022358444
209	0.1019683591
210	0.1016050935
211	0.10097946
212	0.1004740682
213	0.100454214
214	0.1002689527
215	0.09972347124
216	0.0994626248
217	0.09869737892
218	0.09833536821
219	0.09805711066
220	0.09768943875
221	0.09651764445
222	0.09611632566
223	0.09591572973
224	0.09589443814
225	0.095494694
226	0.09505573206
227	0.09500099084
228	0.09482129042
229	0.09456803802
230	0.09455101883
231	0.09401963087
232	0.0936672582
233	0.09365171166
234	0.09363447264
235	0.09356310089
236	0.09341458467
237	0.09287496141
238	0.09189492873
239	0.09064267263
240	0.09021100523
241	0.08974425966
242	0.08932933156
243	0.08906253919
244	0.08904749906
245	0.08859146256
246	0.0880429027
247	0.08790887897
248	0.08788810381
249	0.08719644507
250	0.08681947265
251	0.08669964917
252	0.08632755356
253	0.08586709394
254	0.08504281253
255	0.08444490609
256	0.08443149978
257	0.08412087537
