iter	Logloss
0	0.6342487171
1	0.5890679796
2	0.5496445716
3	0.5177008603
4	0.4907021137
5	0.4693429565
6	0.4524262756
7	0.4404913923
8	0.4381243992
9	0.4292687092
10	0.4217001898
11	0.4135525874
12	0.4047323545
13	0.3980648507
14	0.3944918913
15	0.3925618935
16	0.3896023168
17	0.3852239862
18	0.3818420409
19	0.3794409753
20	0.3759609581
21	0.3742343715
22	0.3711199702
23	0.3690094997
24	0.3664353733
25	0.364507316
26	0.3634650077
27	0.3627809087
28	0.3609885948
29	0.3594395316
30	0.357283509
31	0.3566288286
32	0.3562060989
33	0.3534338175
34	0.3515931578
35	0.349326981
36	0.3476383918
37	0.3458400004
38	0.3442481565
39	0.3436508383
40	0.3426195649
41	0.3413356862
42	0.3411757591
43	0.3399284786
44	0.3387967752
45	0.3376102558
46	0.3371584669
47	0.3362301311
48	0.3353969139
49	0.3335188006
50	0.3329267062
51	0.3319798373
52	0.3306063458
53	0.329340995
54	0.3289745991
55	0.3282529002
56	0.3263980097
57	0.3240764984
58	0.3238878084
59	0.3228499669
60	0.3211406939
61	0.3195147821
62	0.3183401748
63	0.3167600145
64	0.315176945
65	0.3143915125
66	0.3129933003
67	0.310898257
68	0.310405708
69	0.3095708658
70	0.308746069
71	0.3080471227
72	0.3078253166
73	0.3059942421
74	0.3037520046
75	0.3029321591
76	0.2997094458
77	0.2978808279
78	0.2960774633
79	0.2948317737
80	0.2946803686
81	0.2905576287
82	0.2893806593
83	0.2881946251
84	0.2869958862
85	0.2850649355
86	0.2836995896
87	0.2825779916
88	0.2815049403
89	0.2794152789
90	0.2792387521
91	0.2783745103
92	0.2757664555
93	0.2741529532
94	0.2737877691
95	0.2734099852
96	0.2712967052
97	0.2696811505
98	0.2685161511
99	0.2683821401
100	0.2667428976
101	0.2650695135
102	0.2643863589
103	0.2617110266
104	0.2613235032
105	0.2589815511
106	0.2576171173
107	0.2566038111
108	0.2547848067
109	0.2528034052
110	0.2516848203
111	0.2515314005
112	0.251354308
113	0.250205116
114	0.2486674259
115	0.2466071156
116	0.2458654447
117	0.2425768596
118	0.2419451772
119	0.2403397914
120	0.239091198
121	0.2386755902
122	0.237943144
123	0.2363184278
124	0.2349646316
125	0.2336875521
126	0.2320927076
127	0.2313021676
128	0.2297964538
129	0.2291229072
130	0.2277718128
131	0.226058215
132	0.2252991679
133	0.2240615038
134	0.2224704425
135	0.2207403049
136	0.2196565515
137	0.2189996072
138	0.2183531518
139	0.2161363596
140	0.2152344392
141	0.2145107825
142	0.2136504749
143	0.2125804058
144	0.2117876994
145	0.2116533573
146	0.210235165
147	0.2097188176
148	0.2090205219
149	0.2085631242
150	0.2068419882
151	0.2067167531
152	0.2059813282
153	0.2051504891
154	0.2046021564
155	0.2032235343
156	0.2026521736
157	0.2023527574
158	0.2022553869
159	0.2008240551
160	0.199579978
161	0.1987817155
162	0.1986090404
163	0.1985395919
164	0.1976860399
165	0.1972398045
166	0.1965053183
167	0.1958658682
168	0.1953887092
169	0.1944146186
170	0.1936012271
171	0.1929910821
172	0.1924853267
173	0.1916251452
174	0.1911018779
175	0.1910278495
176	0.1909521453
177	0.1894986734
178	0.1891406694
179	0.1886500707
180	0.1884193436
181	0.1872351301
182	0.187167052
183	0.1864900319
184	0.18615588
185	0.1857523245
186	0.1844020657
187	0.1834660624
188	0.1829975482
189	0.1823437738
190	0.1809282604
191	0.1808768321
192	0.1808193936
193	0.1804465188
194	0.1789868489
195	0.1782785216
196	0.1780756405
197	0.1774945458
198	0.1772392343
199	0.1770637169
200	0.1767650994
201	0.1761793679
202	0.1760067162
203	0.1755564666
204	0.1744266712
205	0.1734613535
206	0.1733635322
207	0.1723138658
208	0.1720126181
209	0.1718617546
210	0.1702176775
211	0.1697653523
212	0.1696573079
213	0.1694828172
214	0.1686827576
215	0.1685266465
216	0.1682745893
217	0.1681018638
218	0.1680303397
219	0.1675180305
220	0.1666109174
221	0.1664108477
222	0.1658943797
223	0.1649669857
224	0.1639282501
225	0.1633750647
226	0.1631678422
227	0.162906162
228	0.1623802263
229	0.1618832884
230	0.1618460922
231	0.1617819323
232	0.1610769666
233	0.1608349123
234	0.1606258657
235	0.160050414
236	0.1593807839
237	0.1586070325
238	0.1580910283
239	0.1574685921
240	0.1568623582
241	0.1566457358
242	0.1558968349
243	0.1558589004
244	0.1547556507
245	0.153957178
246	0.1536017148
247	0.1531788123
248	0.1525557392
249	0.1524137989
250	0.1518351956
251	0.1513931579
252	0.1512826239
253	0.1508362992
254	0.1501680115
255	0.1500040093
256	0.1499571117
257	0.1495586932
258	0.1491862863
259	0.1490737521
260	0.1478724216
261	0.1468819345
262	0.1457266611
263	0.1454273765
264	0.1448957781
265	0.14470761
266	0.1439042333
267	0.1432788423
268	0.1425922697
269	0.1424131633
270	0.1420496816
271	0.1419995413
272	0.1419523177
273	0.1417383709
274	0.1413240787
275	0.1412789793
276	0.1407049145
277	0.1405940606
278	0.1404019554
279	0.1401588516
280	0.1396003349
281	0.1390208043
282	0.1388718325
283	0.13854056
284	0.1378362009
285	0.1378093528
286	0.1377707576
287	0.1375605372
288	0.1375345994
289	0.1369455161
290	0.136884856
291	0.1361417807
292	0.1354130091
293	0.1350261471
294	0.1346285333
295	0.1344979265
296	0.1344452279
297	0.1344215585
298	0.1343306141
299	0.1341221402
300	0.1337311938
301	0.1334310527
302	0.1326322567
303	0.131817561
304	0.1315266261
305	0.1312261182
306	0.1308406922
307	0.1307453191
308	0.1301565851
309	0.1298061669
310	0.129647001
311	0.1294643913
312	0.129288926
313	0.1290015064
314	0.1289716071
315	0.1289490528
316	0.1289321355
317	0.1283145549
318	0.1277354367
319	0.1273306797
320	0.1267170288
321	0.1260802793
322	0.1259621223
323	0.1251875186
324	0.124557437
325	0.1244032094
326	0.1243562327
327	0.1236309476
328	0.1231102486
329	0.1229088773
330	0.122407999
331	0.1218034175
332	0.1214226846
333	0.1210132246
334	0.120660435
335	0.120633449
336	0.1203554564
337	0.1203200292
338	0.1202865885
339	0.1199417891
340	0.1195734178
341	0.119138641
342	0.1189699331
343	0.11850585
344	0.1178161525
345	0.1174918562
346	0.1173463598
347	0.1164324306
348	0.115871306
349	0.1158403083
350	0.1153450955
351	0.115163434
352	0.1149722866
353	0.1147533747
354	0.1147351607
355	0.1143223529
356	0.1142826548
357	0.113707147
358	0.1134592362
359	0.1133518691
360	0.113130007
361	0.112727211
362	0.1125530959
363	0.112179646
364	0.1119638263
365	0.1118710854
366	0.111641125
367	0.1112829308
368	0.1111796281
369	0.1108274583
370	0.1107872978
371	0.1104301848
372	0.1101117174
373	0.1099198906
374	0.1097708842
375	0.1097400349
376	0.1097264898
377	0.1095877563
378	0.1089807654
379	0.1089427274
380	0.1089238084
381	0.1086945441
382	0.1082384723
383	0.1082175757
384	0.1076367045
385	0.107612841
386	0.1075930885
387	0.1075808358
388	0.1072037973
389	0.1068183734
390	0.1066166408
391	0.1065998196
392	0.1061349648
393	0.1059036204
394	0.1053757624
395	0.1053602478
396	0.1053179912
397	0.1048869031
398	0.1045440534
399	0.104380283
400	0.1042952457
401	0.104235922
402	0.1038971701
403	0.1038592702
404	0.1034836209
405	0.1033417235
406	0.1030892033
407	0.1028583437
408	0.1028045071
409	0.1023752253
410	0.1022241554
411	0.1019275503
412	0.1017079933
413	0.1011550249
414	0.100871038
415	0.1004288238
416	0.1002618583
417	0.1001913414
418	0.09986503421
419	0.09959544954
420	0.09931310335
421	0.09925037903
422	0.09889510662
423	0.09860276326
424	0.09831405449
425	0.09823277434
426	0.09779244562
427	0.09736862265
428	0.09719004984
429	0.0971749611
430	0.09694522609
431	0.09670307227
432	0.09643692059
433	0.096189722
